고유번호,지역,상호,상표,주소,전화번호
A0019812,전북 정읍시,연송LPG충전소,S-OIL,전라북도 정읍시 충정로 468 (농소동),063-538-7771,
A0032896,전북 정읍시,신태인LPG충전소,E1,전북 정읍시 신태인읍 감곡로 63,063-571-7030,
A0033541,전북 정읍시,오케이충전소,S-OIL,전라북도 정읍시 고부면 영원로 163,063-535-5182,
A0018532,전북 김제시,김제LPG충전소,E1,전북 김제시 콩쥐팥쥐로 120,063-544-9090,
A0018533,전북 김제시,제일충전소,SK에너지,전북 김제시 하공로 83 (하동),063-548-0002,
A0018561,전북 김제시,김제DL충전소,E1,전북 김제시 공덕면 하공로 772,063-544-3003,
A0018601,전북 김제시,우리LPG충전소,SK에너지,전북 김제시 금구면 선비로 986,063-544-7979,
A0018604,전북 김제시,벽골제LPG충전소,S-OIL,전북 김제시 만경로 40,063-548-5189,
A0018663,전북 김제시,(유)우주에너지주유소/충전소,GS칼텍스,전북 김제시 금구면 선비로 905,063-547-2626,
A0018710,전북 김제시,김제오렌지충전소,E1,전북 김제시 벽성로 361 (서암동),063-545-8301,
A0019109,전북 김제시,SK행복충전 신흥가스충전소,SK가스,전북 김제시 벽지산로 273 (교동),063-547-6155,
A0019111,전북 김제시,순동연합LPG충전소,E1,전북 김제시 순백2길 186,063-546-7080,
A0033556,전북 김제시,동신LPG충전소 김제지점,GS칼텍스,전북 김제시 하공로 62,063-546-3131,
A0009923,전북 완주군,이서(천안방향)주유소/충전소,SK에너지,전북 완주군 이서면 호남고속도로 162,063-236-4400,
A0009924,전북 완주군,이서(순천방향)주유소/충전소,SK에너지,전북 완주군 이서면 호남고속도로 161-1,063-227-7100,
A0017812,전북 완주군,용진에너지,S-OIL,전북 완주군 용진면 초포다리로 259,063-241-4910,
A0017934,전북 완주군,소양LPG충전소,GS칼텍스,전북 완주군 소양면 전진로 592,063-244-2127,
A0017960,전북 완주군,SK행복충전 한일LPG충전소,SK가스,전북 완주군 소양면 전진로 656,063-241-5757,
A0017988,전북 완주군,정원충전소,S-OIL,전북 완주군 봉동읍 봉동로 824,063-262-0096,
A0018095,전북 완주군,소양사랑LPG충전소,HD현대오일뱅크,전북 완주군 소양면 전진로 891,063-244-2188,
A0018158,전북 완주군,삼례LPG충전소,S-OIL,전북 완주군 삼례읍 삼례로 297,063-291-4321,
A0018160,전북 완주군,삼봉에너지 주유소/충전소,S-OIL,전북 완주군 삼례읍 과학로 509,063-261-5100,
A0018190,전북 완주군,동신LPG충전소 완주지점,GS칼텍스,전북 완주군 봉동읍 완주로 539,063-244-3979,
A0018234,전북 완주군,오케이완주충전소,HD현대오일뱅크,전북 완주군 상관면 춘향로 4082,-,
A0022551,전북 완주군,구이LPG충전소,GS칼텍스,전북 완주군 구이면 모악로 3850,063-221-1206,
A0000056,전북 진안군,㈜더웨이유통 진안 마이산(익산방향)주유소,GS칼텍스,전북 진안군 진안읍 익산장수고속도로 41-1,063-432-1383,
A0000057,전북 진안군,㈜더웨이유통 진안 마이산(장수방향)주유소,HD현대오일뱅크,전북 진안군 진안읍 익산장수고속도로 42-1,063-432-6353,
A0019136,전북 진안군,SK행복충전 진안가스충전소,SK가스,전북 진안군 진안읍 진장로 112,063-433-3344,
A0022583,전북 진안군,마이산LPG충전소,S-OIL,전북 진안군 진안읍 전진로 3067,063-432-5577,
A0022667,전북 진안군,반석충전소,HD현대오일뱅크,전북 진안군 부귀면 전진로 2721,063-433-1112,
A0018231,전북 무주군,풀무원푸드앤컬처덕유산상(대전)주유소,E1,전북 무주군 안성면 통영대전고속도로 148,063-353-4206,
A0019147,전북 무주군,무주LPG충전소,GS칼텍스,전북 무주군 무주읍 무학로 26,063-322-3333,
A0017825,전북 장수군,SK행복충전 장계가스충전소,SK가스,전북 장수군 계남면 장무로 146,063-351-4999,
A0018230,전북 장수군,풀무원푸드앤컬처덕유산하(통영)주유소,E1,전북 장수군 계북면 통영대전고속도로 147,063-353-5106,
A0009921,전북 임실군,오수(완주방향)주유소(상),SK에너지,전북 임실군 오수면 순천완주고속도로 74,063-644-4800,
A0009922,전북 임실군,오수(순천방향)주유소(하),SK에너지,전북 임실군 오수면 순천완주고속도로 73,063-644-7300,
A0019184,전북 임실군,임실충전소,S-OIL,전북 임실군 임실읍 춘향로 3007,063-643-4500,
A0019321,전북 순창군,순창LPG충전소,HD현대오일뱅크,전북 순창군 장류로 234-7,063-652-0144,
A0018950,전북 고창군,동신충전소,S-OIL,전북 고창군 신림면 고인돌대로 2100,063-564-5150,
A0019007,전북 고창군,SK행복충전 광진가스충전소,SK가스,전북 고창군 고창읍 중앙로 152,063-562-9494,
A0019012,전북 고창군,고창에너지,SK에너지,전북 고창군 고창읍 동서대로 1882,063-561-5959,
A0019020,전북 고창군,(유)고창가스충전소,SK에너지,전북 고창군 고창읍 고인돌대로 1940,063-563-1004,
A0019044,전북 고창군,보령물산(주) 고창고인돌(목포)주유소,E1,전북 고창군 신림면 서해안고속도로 81-1,063-561-6318,
A0019045,전북 고창군,보령물산(주) 고창고인돌(서울)주유소,E1,전북 고창군 신림면 서해안고속도로 80-1,063-561-0962,
A0003491,전북 부안군,부안LPG충전소,SK에너지,전북 부안군 부안읍 부령로 13,063-584-5843,
A0018782,전북 부안군,서림LPG충전소,E1,전북 부안군 부안읍 오리정로 42,063-581-7600,
A0018896,전북 부안군,줄포LPG충전소,SK에너지,전북 부안군 줄포면 부안로 985,063-584-5841,
A0018919,전북 부안군,변산대박LPG충전소,자가상표,전북 부안군 변산면 변산로 2409,063-583-8411,
A0019061,전북 부안군,현대가스충전소,HD현대오일뱅크,전북 부안군 행안면 변산로 47,063-584-2000,
A0020850,전남 목포시,21세기 가스충전소,GS칼텍스,전남 목포시 삼학로 233,061-244-4585,
A0020922,전남 목포시,(주)금성가스,GS칼텍스,전남 목포시 삼학로 162,061-244-0962,
A0020923,전남 목포시,목포가스충전소,E1,전남 목포시 석현로 5,061-283-6300,
A0020928,전남 목포시,SK행복충전 제일충전소,SK가스,전남 목포시 대양로 25 (연산동),061-276-6677,
A0020935,전남 목포시,SK행복충전 남악가스충전소,SK가스,전남 목포시 임성로 34 (석현동),061-283-0085,
A0020936,전남 목포시,유한회사 청호충전소,SK에너지,전남 목포시 대양로 52,061-278-8855,
A0020939,전남 목포시,SK행복충전 대양에너지충전소,SK가스,전남 목포시 영산로 817  (대양동),061-283-1500,
A0020953,전남 목포시,(유)고속에너지,HD현대오일뱅크,전남 목포시 영산로 774,061-282-8310,
A0020955,전남 목포시,유한회사유정에너지,E1,전남 목포시 백년대로 221(상동),061-287-8949,
A0021002,전남 목포시,반디가스 석현동충전소,E1,전남 목포시 영산로 648-5 (석현동),061-284-8304,
A0021014,전남 목포시,(유) 청호이엔에스,SK에너지,전남 목포시 대양로 149,070-4272-3667,
A0022056,전남 목포시,SK행복충전 유달충전소,SK가스,전남 목포시 삼학로 118 (산정동),061-244-1658,
A0019412,전남 여수시,여천가스충전소,GS칼텍스,전남 여수시 쌍봉로 258 (시전동),061-684-0777,
A0022083,전남 여수시,여수충전/둔덕주유,SK가스,전남 여수시 좌수영로 632 (둔덕동),061-654-1901,
A0022247,전남 여수시,그린LPG충전소,GS칼텍스,전남 여수시 반월길 13 (여천동),061-683-2300,
A0022272,전남 여수시,수달LPG충전소,S-OIL,전남 여수시 좌수영로 1162,061-682-4880,
A0022382,전남 여수시,대상LPG충전소,GS칼텍스,전남 여수시 율촌면 여순로 800,061-685-0838,
A0022383,전남 여수시,구봉가스충전소,E1,전남 여수시 국동남9길 14 (국동),061-642-2033,
A0022384,전남 여수시,구봉가스2충전소,E1,전남 여수시 좌수영로 656 (둔덕동),061-651-5555,
A0022387,전남 여수시,여수공항LPG충전소,E1,전남 여수시 율촌면 여순로 514,061-686-8832,
A0022391,전남 여수시,구봉가스3충전소,E1,전남 여수시 무선로 280 (화장동),061-683-2032,
A0022423,전남 여수시,(유)개인가스충전소,S-OIL,전남 여수시 쌍봉로 249 (학용동),061-685-0308,
A0022444,전남 여수시,동화가스(주)여수영업소,GS칼텍스,전남 여수시 좌수영로 196 (연등동),061-641-5910,
A0022484,전남 여수시,내트럭(주) 여수사업소,SK에너지,전남 여수시 여수산단로 140,061-692-9678,
A0022485,전남 여수시,여수오렌지충전소,E1,전남 여수시 한재로 9 (여서동),061-651-4998,
A0033366,전남 여수시,둔덕LPG충전소,S-OIL,전남 여수시 좌수영로 617,061-652-2121,
A0021693,전남 순천시,SK행복충전 해월가스충전소,SK가스,전남 순천시 해룡면 월전길 1,061-724-8177,
A0021776,전남 순천시,SK행복충전 산하엘피지충전소,SK가스,전남 순천시 별량면 녹색로 63,061-742-2600,
A0021850,전남 순천시,남동가스충전소,자가상표,전남 순천시 별량면 녹색로 988,061-742-4442,
A0021858,전남 순천시,순천LPG충전소,E1,전남 순천시 팔마로 343 (연향동),061-744-7504,
A0021882,전남 순천시,해룡LPG충전소,E1,전남 순천시 해룡면 여순로 1643,061-723-6610,
A0021887,전남 순천시,순천가스 충전소 SK,SK가스,전남 순천시 팔마로 223 (덕암동),061-744-1067,
A0021946,전남 순천시,금치LPG충전소,HD현대오일뱅크,전남 순천시 별량면 녹색로 118,061-742-9123,
A0022029,전남 순천시,목포도시가스(주)신대에너지,HD현대오일뱅크,전남 순천시 해룡면 상성길 286,061-725-5588,
A0022074,전남 순천시,(유)동양엘피지,GS칼텍스,전남 순천시 중앙로 371 (가곡동),061-752-7391,
A0022086,전남 순천시,(유)순천톨게이트개인충전소,GS칼텍스,전남 순천시 서면 백강로 600,061-755-8111,
A0022100,전남 순천시,(주)왕조LPG충전소,GS칼텍스,전남 순천시 순광로 95 (조례동),061-725-6116,
A0022108,전남 순천시,SK행복충전 가곡에너지충전소,SK가스,전남 순천시 중앙로 432,061-752-1504,
A0022202,전남 순천시,(주)대청산업개발 황전(순천)주유소,GS칼텍스,전남 순천시 황전면 순천완주고속도로 25,061-782-1737,
A0022203,전남 순천시,(주)에스피씨삼립황전(전주)주유소,GS칼텍스,전남 순천시 황전면 순천완주고속도로 28,061-782-1701,
A0022212,전남 순천시,위즈코프㈜ 주암(순천)주유소,HD현대오일뱅크,전남 순천시 주암면 호남고속도로 29,061-754-4985,
A0022213,전남 순천시,위즈코프㈜ 주암(천안)주유소,HD현대오일뱅크,전남 순천시 주암면 호남고속도로 24-1,061-754-4454,
A0033005,전남 순천시,태광LPG충전소SK,SK가스,전라남도 순천시  우석로 17 (덕월동),061-742-1177,
A0021039,전남 나주시,양산LPG충전소,HD현대오일뱅크,전남 나주시 왕곡면 예향로 3532,061-337-7000,
A0021060,전남 나주시,신성충전소,HD현대오일뱅크,전남 나주시 다시면 영산로 4837,061-336-5128,
A0021074,전남 나주시,(유)노안에너지,GS칼텍스,전남 나주시 노안면 건재로 507,061-336-7179,
A0021141,전남 나주시,무지개LPG충전소,자가상표,전남 나주시 다시면 영산로 4738,061-336-5196,
A0021221,전남 나주시,남평LPG충전소,SK에너지,전남 나주시 산남로 179,061-337-8855,
A0021290,전남 나주시,(유)예향에너지,GS칼텍스,전남 나주시 예향로 3754,061-332-1141,
A0022752,전남 나주시,SK행복충전 종합충전소,SK가스,전남 나주시 왕곡면 나주서부로 5,061-337-6969,
A0032997,전남 나주시,평산LPG충전소,SK에너지,전남 나주시 남평읍 영산로 6645,061-333-5182,
A0033654,전남 나주시,(주)드림투게더LPG충전소,S-OIL,전남 나주 혁신로 306,061-332-2378,
A0018391,전남 광양시,금선,HD현대오일뱅크,전남 광양시 광양읍 제철로 237-1,061-763-8833,
A0021674,전남 광양시,SK행복충전 대륙엘피지충전소,SK가스,전남 광양시 옥곡면 강변로 247,061-772-7752,
A0021701,전남 광양시,부광LPG충전소,S-OIL,전남 광양시 백운로 955-4 (성황동),061-794-8005,
A0021829,전남 광양시,거성LPG충전소,GS칼텍스,전남 광양시 광양읍 백운로 226,061-763-5189,
A0021921,전남 광양시,금당LPG충전소,E1,전남 광양시 광양읍 동주1길 7,061-761-2929,
A0022077,전남 광양시,(주)반디가스 광양점,E1,전남 광양시 광양읍 용두길 14,061-762-7711,
A0022082,전남 광양시,(주)백운에너지,자가상표,전남 광양시 옥곡면 의암공단길 7,061-772-6106,
A0022091,전남 광양시,SK행복충전 가야산에너지충전소,SK가스,전남 광양시 백운로 1265 (마동),061-794-3535,
A0022104,전남 광양시,아폴론LPG충전소,E1,전남 광양시 광양읍 순광로 591,061-763-0055,
A0022177,전남 광양시,일원황금주유소/충전소,S-OIL,전남 광양시 제철로 661,061-795-1901,
A0022200,전남 광양시,희망찬충전소,GS칼텍스,전남 광양시 백운로 978,061-791-5125,
A0022218,전남 광양시,SK행복충전 대성에너지 직영 동광양충전소,SK가스,전남 광양시 강변로 98 (광영동),061-793-9965,
A0019851,전남 담양군,만재LPG충전소,SK에너지,전남 담양군 담양읍 죽향대로 1110,061-383-1177,
A0019889,전남 담양군,행복가득담양lpg충전소,SK에너지,전남 담양군 대전면 추성로 571,061-382-7600,
A0019956,전남 담양군,고서LPG충전소,GS칼텍스,전남 담양군 고서면 창평현로 141,061-381-8868,
A0020094,전남 담양군,북광주LPG충전소,E1,전남 담양군 담양읍 추성로 1155,061-381-2188,
A0019491,전남 곡성군,㈜금정 곡성점LPG충전소,E1,전남 곡성군 삼기면 곡순로 1234,061-362-1996,
A0019522,전남 곡성군,기차마을LPG충전소,HD현대오일뱅크,전남 곡성군 곡성읍 곡성로 355,061-363-5182,
A0019526,전남 곡성군,옥과LPG충전소,SK에너지,전남 곡성군 옥과면 천변로 71,061-363-9877,
A0019674,전남 곡성군,곡성(논산방향)주유소충전소,HD현대오일뱅크,전남 곡성군 겸면 호남고속도로 50-1,061-362-7188,
A0019684,전남 곡성군,시카프관광개발(주) 곡성(순천)주유소,E1,전남 곡성군 겸면 호남고속도로 49-1,061-362-5955,
A0021789,전남 구례군,구례LPG충전소,E1,전남 구례군 마산면 섬진강대로 5503,061-783-2393,
A0022060,전남 구례군,SK행복충전 산동엘피지충전소,SK가스,전남 구례군 산동면 산업로 2307,070-8823-5014,
A0022061,전남 구례군,옥천LPG충전소(역전),GS칼텍스,전남 구례군 구례읍 구례로 230,061-782-7500,
A0022075,전남 구례군,(유)대영에너지,GS칼텍스,전남 구례군 용방면 산업로 1464,061-782-7800,
A0019388,전남 고흥군,SK행복충전 등암엘피지충전소,SK가스,전남 고흥군 고흥읍 고흥로 1520,061-835-7772,
A0021348,전남 고흥군,파랑새LPG충전소,HD현대오일뱅크,전남 고흥군 점암면 우주항공로 2878,061-834-2400,
A0021856,전남 고흥군,우주주유소/충전소,GS칼텍스,전남 고흥군 두원면 우주항공로 2333,061-833-5676,
A0021883,전남 고흥군,녹동LPG충전소,HD현대오일뱅크,전남 고흥군 도양읍 우주항공로 446,061-843-4330,
A0021901,전남 고흥군,금성LPG충전소,GS칼텍스,전남 고흥군 과역면 우주항공로 3256,061-834-4040,
A0020960,전남 보성군,벌교IC충전소,GS칼텍스,전남 보성군 벌교읍 녹색로 5337,061-858-6611,
A0021708,전남 보성군,다향LPG,GS칼텍스,전남 보성군 보성읍 용문길 13,061-853-9731,
A0021919,전남 보성군,남벌교LPG충전소,E1,전남 보성군 벌교읍 녹색로 5577,061-857-3800,
A0022219,전남 보성군,대보건설(주)보성녹차(광양)주유소/충전소,SK가스,전남 보성군 겸백면 남해고속도로 70,070-4325-8805,
A0022220,전남 보성군,대보건설(주)보성(목포)주유소/충전소,SK가스,전남 보성군 미력면 남해고속도로 63,070-4325-8800,
A0033605,전남 보성군,(주)제일에너지 녹차골LPG충전소지점,자가상표,전남 보성군 보성읍 녹색로 2828,061-852-7533,
A0019390,전남 화순군,앵남LPG충전소,자가상표,전라남도 화순군 화순읍 지강로 780,061-373-7111,
A0019471,전남 화순군,세량LPG충전소,SK에너지,전남 화순군 화순읍 지강로 825,061-374-1171,
A0019549,전남 화순군,차사랑LPG충전소,GS칼텍스,전남 화순군 화순읍 화보로 3901,061-375-5150,
A0019554,전남 화순군,화순LPG충전소,자가상표,전남 화순군 능주면 화보로 3548,000-000-0000,
A0019596,전남 화순군,명품LPG충전소,SK에너지,전남 화순군 화순읍 쌍충로 127-4,050-5373-3927,
A0019627,전남 화순군,(주)지석 지석강주유소/충전소,S-OIL,전남 화순군 춘양면 화보로 2553,061-371-5145,
A0020104,전남 화순군,특별한충전소,GS칼텍스,전남 화순군 화순읍 화보로 4167,061-374-5186,
A0032937,전남 화순군,남도엘피지,자가상표,전남 화순군 화순읍 서양로 376,061-371-5189,
A0019006,전남 장흥군,(유)남악IC개발 청기와에너지,GS칼텍스,전남 장흥군 안양면 남부관광로 310,061-863-6618,
A0021413,전남 장흥군,장안동부LPG충전소,S-OIL,전남 장흥군 부산면 녹색로 1030,061-862-0808,
A0021470,전남 장흥군,장흥가스충전소,HD현대오일뱅크,전남 장흥군 장흥읍 장강로 120,061-863-2502,
A0021491,전남 장흥군,천관산LPG충전소,GS칼텍스,전남 장흥군 용산면 장흥대로 1948,061-867-9494,
A0021485,전남 강진군,청자LPG충전소,HD현대오일뱅크,전남 강진군 강진읍 녹색로 3926,061-434-5149,
A0021534,전남 강진군,강진충전소,자가상표,전남 강진군 강진읍 송계로 35,061-434-0999,
A0021585,전남 강진군,강진LPG충전소,E1,전남 강진군 강진읍 송계로 458,061-433-2007,
A0021567,전남 해남군,유한회사 한성가스,GS칼텍스,전남 해남군 해남읍 중앙1로 410,061-536-2181,
A0021576,전남 해남군,GS 해남IC가스충전소,GS칼텍스,전남 해남군 해남읍 땅끝대로 77,061-536-4108,
A0021594,전남 해남군,해남가스충천소,GS칼텍스,전남 해남군 해남읍 땅끝대로 123,061-535-3342,
A0032899,전남 해남군,우수영충전소,GS칼텍스,전남 해남군 문내면 관광레저로 86,061-532-6600,
A0020741,전남 영암군,삼호에너지,GS칼텍스,전남 영암군 삼호읍 대보둑로 214,061-471-1100,
A0020752,전남 영암군,유토피아LPG충전소,S-OIL,전남 영암군 삼호읍 녹색로 993,061-462-8877,
A0020759,전남 영암군,서창LPG충전소,GS칼텍스,전남 영암군 삼호읍 녹색로 1537,061-463-1472,
A0020887,전남 영암군,청호LPG삼호충전소,E1,전라남도 영암군 삼호읍 대불로 192,061-463-8511,
A0020925,전남 영암군,대불충전소,E1,전남 영암군 삼호읍 대불로 799,061-462-8310,
A0021100,전남 영암군,SK행복충전 영암가스충전소,SK가스,전남 영암군 영암읍 영암로 1413,061-473-5100,
A0021179,전남 영암군,신북LPG충전소,E1,전남 영암군 신북면 예향로 2449,061-473-1001,
A0021288,전남 영암군,제일가스에너지,자가상표,전남 영암군 영암읍 예향로 1687,061-473-4747,
A0032898,전남 영암군,(유)청호이앤에스 영암가스지점,SK에너지,전남 영암군 영암읍 예향로 1200,061-000-0000,
A0020804,전남 무안군,무안I.C충전소,S-OIL,전남 무안군 무안읍 영산로 3067,061-453-2491,
A0020858,전남 무안군,보광가스충전소,E1,전남 무안군 청계면 무안로 254,061-453-6001,
A0020904,전남 무안군,SK행복충전 동림산업가스충전사업충전소,SK가스,전남 무안군 무안읍 무안로 616,061-453-2474,
A0033191,전남 무안군,SK행복충전 오룡개발충전소,SK가스,전남 무안군 삼향읍 남악5로72번길 81-55,061-287-3335,
A0009925,전남 함평군,함평천지(서울방향)주유소/충전소,E1,전남 함평군 손불면 서해안고속도로 38,061-322-4409,
A0010213,전남 함평군,대보디앤에스(주)함평나비(광주)주유소,E1,전남 함평군 엄다면 무안광주고속도로12-1,061-324-8864,
A0021086,전남 함평군,주포LPG충전소,GS칼텍스,전남 함평군 함평읍 함영로 1387,061-323-2399,
A0021249,전남 함평군,학교가스산업,GS칼텍스,전남 함평군 학교면 영산로 3519,061-322-6039,
A0021282,전남 함평군,(주)중앙그린에너지,GS칼텍스,전남 함평군 해보면 영광로 2546,061-323-6030,
A0021287,전남 함평군,케이엘에너지,자가상표,전남 함평군 학교면 함영로 730,061-322-9182,
A0021336,전남 함평군,대보디앤에스㈜함평나비(무안)주유소/충전소,SK가스,전라남도 함평군 엄다면 무안광주고속도로 11-1,061-323-8867,
A0020323,전남 영광군,SK행복충전 한국에너지충전소,SK가스,전남 영광군 영광읍 영광로6길 2,061-351-5565,
A0020346,전남 영광군,SK행복충전 남부LPG충전소,SK가스,전남 영광군 영광읍 영광로 1332,061-351-5775,
A0020419,전남 영광군,태양LPG충전소,E1,전남 영광군 영광읍 330-1,061-352-5400,
A0020444,전남 영광군,영광엘피지충전소,S-OIL,전남 영광군 영광읍 영광로 632,061-351-8668,
A0020507,전남 영광군,(주)영진에너지,GS칼텍스,전남 영광군 영광읍 천년로8길 1,061-352-1943,
A0019744,전남 장성군,SK행복충전 상무대엘피지충전소,SK가스,전남 장성군 삼서면 영장로 1910,061-394-5594,
A0019861,전남 장성군,백제가스,GS칼텍스,전남 장성군 장성읍 방울샘길 29,061-393-8232,
A0020008,전남 장성군,한길에너지 첨단LPG충전소,S-OIL,전남 장성군 남면 하서대로 66,061-392-9779,
A0020027,전남 장성군,한국도로공사 백양사(논산)주유소/충전소,E1,전남 장성군 북일면 박산리 호남고속도로 108-1,061-393-0257,
A0020046,전남 장성군,백양사(순천)주유소/충전소,E1,전남 장성군 북이면 호남고속도로 107-1,070-4269-2785,
A0021498,전남 완도군,완도LPG충전소,자가상표,전남 완도군 군외면 청해진로 168,061-552-5511,
A0021503,전남 완도군,청해진LPG충전소,S-OIL,전남 완도군 완도읍 장보고대로 77,061-553-3738,
A0032819,전남 진도군,진도LPG충전소,GS칼텍스,전남 진도군 진도읍 공설운동장길 14-2,061-543-5149,
A0033466,전남 진도군,가인에너지,E1,전남 진도군 진도읍 왕온로 119,061-544-9489,
A0020784,전남 신안군,자동가스충전소,S-OIL,전남 신안군 지도읍 해제지도로 779,061-275-2323,
A0000109,경북 포항시,(주)청하가스충전소,S-OIL,경북 포항시 북구 청하면 동해대로 2394,054-232-0324,
A0000278,경북 포항시,해맞이충전소,S-OIL,경북 포항시 남구 동해면 동해안로 5099,054-000-0000,
A0023602,경북 포항시,주식회사 한승에너지,S-OIL,경북 포항시 북구 흥해읍 동해대로 1916,054-261-4483,
A0024358,경북 포항시,SK행복충전 우천LPG충전소,SK가스,경북 포항시 북구 새천년대로 1155 (장성동),054-251-3033,
A0024385,경북 포항시,구옥충전소,HD현대오일뱅크,경북 포항시 남구 동해안로 5826 (일월동),054-281-6999,
A0024388,경북 포항시,SK행복충전 관문LPG충전소,SK가스,경상북도 포항시 남구 연일읍 새천년대로 200 관문LPG충전소,054-278-5168,
A0024420,경북 포항시,오천LPG충전소,GS칼텍스,경북 포항시 남구 오천읍 정몽주로 789,054-292-9988,
A0024426,경북 포항시,대동LPG충전소,GS칼텍스,경북 포항시 남구 새천년대로 216 (효자동),054-273-7760,
A0024503,경북 포항시,SK행복충전 성곡IC LPG충전소,SK가스,경북 포항시 북구 흥해읍 동해대로 1121,054-261-2292,
A0024505,경북 포항시,매일에너지 자명LPG충전소,SK가스,경북 포항시 남구 연일읍 자명로 104,054-275-9800,
A0024609,경북 포항시,(주)포항개인택시 제3충전소,E1,경북 포항시 북구 소티재로 211 (우현동),054-726-1101,
A0024615,경북 포항시,포항충전소,SK에너지,경북 포항시 남구 희망대로 663 (대잠동),054-275-2923,
A0024616,경북 포항시,(주)포항개인택시 제2충전소,E1,경북 포항시 북구 장량로 106,054-255-3381,
A0024622,경북 포항시,SK행복충전 영일만LPG충전소,SK가스,경북 포항시 북구 용흥로 251 (용흥동),054-255-0123,
A0024629,경북 포항시,대송LPG충전소,GS칼텍스,경북 포항시 남구 대송면 철강로 154,054-285-1100,
A0024661,경북 포항시,SK행복충전 삼양산업충전소,SK가스,경북 포항시 북구 흥해읍 동해대로 1887,054-262-0033,
A0024662,경북 포항시,포항유업충전소,S-OIL,경북 포항시 북구 소티재로 70 (우현동),054-248-8968,
A0024668,경북 포항시,(주)포항개인택시충전소,E1,경북 포항시 남구 연일읍 형산강남로418번길 1,054-286-6511,
A0024688,경북 포항시,철강공단주유소/충전소,GS칼텍스,경북 포항시 남구 철강로 380 (호동),054-289-5352,
A0024730,경북 포항시,한국광유(주)항구충전소,SK에너지,경북 포항시 북구 해동로 347,054-242-0851,
A0024738,경북 포항시,대잠충전소,SK에너지,경북 포항시 남구 희망대로 666 (상도동),054-278-7505,
A0024748,경북 포항시,케이케이(주)단지충전소,SK에너지,경북 포항시 남구 대송로 290 (동촌동),054-272-2365,
A0024751,경북 포항시,대성산업(주)포항가스충전소,GS칼텍스,경북 포항시 남구 중앙로 51 (해도동),054-281-1204,
A0024762,경북 포항시,포항IC주유소/충전소 (주)신일,GS칼텍스,경북 포항시 북구 흥해읍 새마을로 362,054-261-5115,
A0032873,경북 포항시,동아LPG충전소,S-OIL,경북 포항시 북구 용흥로 265 (용흥동),054-242-9599,
A0033206,경북 포항시,문덕LPG충전소,S-OIL,경상북도 포항시 남구 오천읍 철강로 818,054-291-5950,
A0033531,경북 포항시,양덕스마일충전소,GS칼텍스,경북 포항시 북구 삼흥로 325,054-246-7755,
A0000101,경북 경주시,에어텍충전소,자가상표,경북 경주시  산업로 3436 (도지동),052-278-6753,
A0004011,경북 경주시,씨앤에스에너지(주) 경주(부산)주유소/충전소,E1,경북 경주시 내남면 경부고속도로 59-1,054-748-3427,
A0022773,경북 경주시,안강LPG충전소,S-OIL,경북 경주시 안강읍 안현로 1597,054-763-0277,
A0022866,경북 경주시,늘푸른충전소,GS칼텍스,경북 경주시 현곡면 형산로 446,054-775-5488,
A0023146,경북 경주시,부자집LPG충전소,자가상표,경북 경주시 서면 대경로 137,054-751-3326,
A0023791,경북 경주시,경주고속주유소/충전소,S-OIL,경북 경주시 강동면 산업로 5333,054-776-4270,
A0023857,경북 경주시,모화가스충전소,S-OIL,경북 경주시 외동읍 산업로 1796,054-773-5801,
A0023938,경북 경주시,SK행복충전 삼일충전소,SK가스,경북 경주시 천북면 산업로 4854,054-748-3131,
A0023998,경북 경주시,남산충전소,S-OIL,경북 경주시 반구대로 3682-15 (배동),054-775-2688,
A0024057,경북 경주시,SK행복충전 경주충전소,SK가스,경북 경주시 산업로 4385 (용강동),054-776-2224,
A0024162,경북 경주시,(주)태산이앤엘 호반셀프주유소,SK에너지,경북 경주시 안강읍 호국로 2191,054-762-6335,
A0024242,경북 경주시,한성산업㈜,SK가스,경북 경주시 광중길 18 (용강동),054-776-0001,
A0024268,경북 경주시,경주개인택시LPG충전소,E1,경북 경주시 부엉길 9-5 (석장동),054-777-0703,
A0024309,경북 경주시,㈜금아리무진 행복주유소/충전소,SK가스,경북 경주시 태종로 315 (충효동),054-742-9595,
A0024310,경북 경주시,GS칼텍스 (주)정우에너지 동방충전소,GS칼텍스,경북 경주시 산업로 3593 (동방동),054-748-7750,
A0024312,경북 경주시,케이케이(주)보문충전소,SK에너지,경북 경주시 경감로 585 (천군동),054-745-6651,
A0024317,경북 경주시,국제충전소,SK에너지,경북 경주시 금성로 179 (사정동),054-773-4900,
A0024324,경북 경주시,남경주IC행복충전소,HD현대오일뱅크,경북 경주시 외동읍 산업로 2759,054-772-0051,
A0024326,경북 경주시,남경주IC충전소,S-OIL,경북 경주시 외동읍 산업로 2785,054-775-4940,
A0024328,경북 경주시,구도일충전소,S-OIL,경북 경주시 서라벌대로 408 (율동),054-749-5145,
A0024335,경북 경주시,(주)삼일경주충전소,S-OIL,경북 경주시 원화로 170 (인왕동),054-771-1746,
A0024342,경북 경주시,아워홈(주) 서라벌광장주유소/충전소,S-OIL,경북 경주시 서라벌대로 417 (율동),070-4048-4906,
A0024675,경북 경주시,㈜일선에너지 신라LPG충전소,GS칼텍스,경북 경주시 화랑로 14 (성건동),054-742-3600,
A0027387,경북 경주시,산대LPG충전소,GS칼텍스,경북 경주시 안강읍 안강중앙로 23,054-762-1017,
